evaluation,de-identified
2.25.106855553560268692564950454562989915638,1.3.6.1.4.1.14519.5.2.1.8700.9668.417860018388922323232026485851
2.25.106937337227164854498753078273444003318,1.3.6.1.4.1.14519.5.2.1.8700.9668.241390011830715041311807279673
2.25.10696286368230995183028669816975769078,1.3.6.1.4.1.14519.5.2.1.8700.9668.123663625766894166920707032507
2.25.107028966973957476633110139658326097398,1.3.6.1.4.1.14519.5.2.1.8700.9668.869294655206193725257567514726
2.25.107060404708843136722267257897819422198,1.3.6.1.4.1.14519.5.2.1.8700.9668.627313735251608001749488797622
2.25.107089532150509880863340148395720949238,1.3.6.1.4.1.14519.5.2.1.8700.9668.115875106428537409068656525396
2.25.107143081277130834415154560848593796598,1.3.6.1.4.1.14519.5.2.1.8700.9668.208421464429345048356496918327
2.25.107151351508874885898034262933849619958,1.3.6.1.4.1.14519.5.2.1.8700.9668.283569894552866116329558315861
2.25.107249599184082324532510513044903280118,1.3.6.1.4.1.14519.5.2.1.8700.9668.222642344107344947071373563158
2.25.10729733329318017015787160331049614838,1.3.6.1.4.1.14519.5.2.1.8700.9668.256324075237800998571425722765
2.25.107355378288418369134918405443875880438,1.3.6.1.4.1.14519.5.2.1.8700.9668.320327991678044451231692293277
2.25.107377255164792620375136422767162408438,1.3.6.1.4.1.14519.5.2.1.8700.9668.297268459641522340092525882588
2.25.107465849680679321042720275483307130358,1.3.6.1.4.1.14519.5.2.1.8700.9668.239975693396631184547090733381
2.25.107589107309947637500644679613163355638,1.3.6.1.4.1.14519.5.2.1.8700.9668.253487998219467291287554286189
2.25.107618819059312924341207322497698610678,1.3.6.1.4.1.14519.5.2.1.8700.9668.199044675348599470306475614132
2.25.10846293405868190137933094223064186358,1.3.6.1.4.1.14519.5.2.1.8700.9668.324645657558513340191363447608
2.25.109027700989757456208254901213504060918,1.3.6.1.4.1.14519.5.2.1.8700.9668.115579817884537381893805301706
2.25.109056093194076067976274923623546469878,1.3.6.1.4.1.14519.5.2.1.8700.9668.322930032481159609237175819092
2.25.109069110777317974178263230862306426358,1.3.6.1.4.1.14519.5.2.1.8700.9668.274224336127642955908550885625
2.25.109246383394802828062307097483463474678,1.3.6.1.4.1.14519.5.2.1.8700.9668.191886834618493315996304921567
2.25.109338000068948635343048455933593763318,1.3.6.1.4.1.14519.5.2.1.8700.9668.382950490204089824174976189547
2.25.109361524098821558138845043035607776758,1.3.6.1.4.1.14519.5.2.1.8700.9668.262182914184963287799800356620
2.25.109376410674417175836557181976156159478,1.3.6.1.4.1.14519.5.2.1.8700.9668.159767682860183942233078285783
2.25.109393994968946404234964381088213482998,1.3.6.1.4.1.14519.5.2.1.8700.9668.799139202538856944475997456720
2.25.10940727037332192087197591128348671478,1.3.6.1.4.1.14519.5.2.1.8700.9668.162263292981556891382532501595
2.25.109513297132201196045834427536349183478,1.3.6.1.4.1.14519.5.2.1.8700.9668.308851593553949762429390932388
2.25.10951537720107263456062230200372018678,1.3.6.1.4.1.14519.5.2.1.8700.9668.150726169700362683111630632617
2.25.109524230222487351953100648633775799798,1.3.6.1.4.1.14519.5.2.1.8700.9668.157352539802805323753397065063
2.25.109559401980672309320488550599648460278,1.3.6.1.4.1.14519.5.2.1.8700.9668.287352806716161886397823554449
2.25.109651276542487100531648776035337092598,1.3.6.1.4.1.14519.5.2.1.8700.9668.272264985202067482153859298677
2.25.109662635088005958038407874463777013238,1.3.6.1.4.1.14519.5.2.1.8700.9668.291270355086462927499076735530
2.25.109761594232112774766635714599504690678,1.3.6.1.4.1.14519.5.2.1.8700.9668.237237136718188249914875460119
2.25.109771310377822711573676498861854146038,1.3.6.1.4.1.14519.5.2.1.8700.9668.253863566072243727265807407973
2.25.109827389655813558157111961140780973558,1.3.6.1.4.1.14519.5.2.1.8700.9668.305900171970305137893157027069
2.25.109989328058584588749936285298070240758,1.3.6.1.4.1.14519.5.2.1.8700.9668.271190081508881779381617938323
2.25.110110531301598910333586888833294253558,1.3.6.1.4.1.14519.5.2.1.8700.9668.132344358933170942934953326265
2.25.110130821634018813430444595438975303158,1.3.6.1.4.1.14519.5.2.1.8700.9668.879383224810571577252227887328
2.25.110168203461797106201529669313342586358,1.3.6.1.4.1.14519.5.2.1.8700.9668.150910507021253630904822596063
2.25.110223835100669747191457728068950015478,1.3.6.1.4.1.14519.5.2.1.8700.9668.177784668189981731036258395498
2.25.110294985555874869708511922245829508598,1.3.6.1.4.1.14519.5.2.1.8700.9668.795667191109965615877612308005
2.25.110315838408248624082166543013557943798,1.3.6.1.4.1.14519.5.2.1.8700.9668.221444752222379348989792470837
2.25.1115216752564757411407640548448255478,1.3.6.1.4.1.14519.5.2.1.8700.9668.427526968192827131182452181912
2.25.111701183632314230871123519660317326838,1.3.6.1.4.1.14519.5.2.1.8700.9668.159416068201655855794476077467
2.25.111822617429281468963996520408436817398,1.3.6.1.4.1.14519.5.2.1.8700.9668.102820083489807804536104986272
2.25.111992828440641426467630674457300418038,1.3.6.1.4.1.14519.5.2.1.8700.9668.804846933346029973628379828099
2.25.112051416082257474659994348337694883318,1.3.6.1.4.1.14519.5.2.1.8700.9668.201593917234341671408937824173
2.25.112121799212708646526938949041415372278,1.3.6.1.4.1.14519.5.2.1.8700.9668.233356288435814159662403522272
2.25.112168047860294723191365804386984508918,1.3.6.1.4.1.14519.5.2.1.8700.9668.292437673567430989631156666676
2.25.112278096966449474070248300837160467958,1.3.6.1.4.1.14519.5.2.1.8700.9668.214867466268356994787559069705
2.25.112371843293603664776384173748675788278,1.3.6.1.4.1.14519.5.2.1.8700.9668.155262681833126075420338198406
2.25.112405129817661595223859037336250203638,1.3.6.1.4.1.14519.5.2.1.8700.9668.143345883209248436884857204479
2.25.112424676197635489378586740564237598198,1.3.6.1.4.1.14519.5.2.1.8700.9668.252955645915899276440514592622
2.25.112535079453676679019058280155871559158,1.3.6.1.4.1.14519.5.2.1.8700.9668.100660719627851799040452011166
2.25.112582107310241083473245368006192250358,1.3.6.1.4.1.14519.5.2.1.8700.9668.269966332264775235308162415869
2.25.112582977631606302666993833086486691318,1.3.6.1.4.1.14519.5.2.1.8700.9668.168749758335140469550369668111
2.25.11260926467711153693616835100472360438,1.3.6.1.4.1.14519.5.2.1.8700.9668.765804544678098166174291279363
2.25.112734123970220452743072852654580940278,1.3.6.1.4.1.14519.5.2.1.8700.9668.114699046106226937775076408306
2.25.112744832448665880710941996054908354038,1.3.6.1.4.1.14519.5.2.1.8700.9668.334265688624194616682243057271
2.25.112784503178059210578740147414000844278,1.3.6.1.4.1.14519.5.2.1.8700.9668.265811167095300800838686837893
2.25.112891110612834341814797580314974207478,1.3.6.1.4.1.14519.5.2.1.8700.9668.504309892224676066231214260541
2.25.11362923615709579887869699678975671798,1.3.6.1.4.1.14519.5.2.1.8700.9668.816754085160968026079700752915
2.25.11382314312344133513174031593100656118,1.3.6.1.4.1.14519.5.2.1.8700.9668.104237319037579337965038604661
2.25.114353877597308887714450968110001929718,1.3.6.1.4.1.14519.5.2.1.8700.9668.294272090665662985462204245178
2.25.114382657227342194235081822949961481718,1.3.6.1.4.1.14519.5.2.1.8700.9668.988426230601956261932540796992
2.25.114433511011874412514131303037643898358,1.3.6.1.4.1.14519.5.2.1.8700.9668.326478536737572044027963445236
2.25.11485309339049426866758886857658449398,1.3.6.1.4.1.14519.5.2.1.8700.9668.274248425583760718421942767659
2.25.114900409307964785968038752988209724918,1.3.6.1.4.1.14519.5.2.1.8700.9668.299653126961156318538473774106
2.25.114944989806589124796837576265904537078,1.3.6.1.4.1.14519.5.2.1.8700.9668.225860693958955362505518865320
2.25.114997557692417339184830892676952473078,1.3.6.1.4.1.14519.5.2.1.8700.9668.571120178329937725184485812780
2.25.115041113374759556004422943463649689078,1.3.6.1.4.1.14519.5.2.1.8700.9668.281501732374239066425942239527
2.25.115049709630392353685051842982261145078,1.3.6.1.4.1.14519.5.2.1.8700.9668.872205223899252208960353084239
2.25.115070047103568952769190417746592644598,1.3.6.1.4.1.14519.5.2.1.8700.9668.150594445977204761870711197409
2.25.115228820341247538501727879823065988598,1.3.6.1.4.1.14519.5.2.1.8700.9668.138450104519633515084528859427
2.25.115267053871772859614442084294899383798,1.3.6.1.4.1.14519.5.2.1.8700.9668.268605660214681781017488823381
2.25.115269411305748471549807180195141631478,1.3.6.1.4.1.14519.5.2.1.8700.9668.151681078385523265534613290328
2.25.115281678202150555097196788604972154358,1.3.6.1.4.1.14519.5.2.1.8700.9668.260797857996421923721983769094
2.25.115351896538023697294319194737275944438,1.3.6.1.4.1.14519.5.2.1.8700.9668.139303900611186548014817592340
2.25.115502210980931447594853482093891665398,1.3.6.1.4.1.14519.5.2.1.8700.9668.742023011153680994651574212561
2.25.115574984028904862245541592050874039798,1.3.6.1.4.1.14519.5.2.1.8700.9668.945602288221653035918980439789
2.25.11582135661021359599018708790243081718,1.3.6.1.4.1.14519.5.2.1.8700.9668.138399717593140663747383015826
2.25.11643251473303237966394992658092768758,1.3.6.1.4.1.14519.5.2.1.8700.9668.890187519409838401838803739641
2.25.117082854417876341118621920513668791798,1.3.6.1.4.1.14519.5.2.1.8700.9668.231190911771299220319647995948
2.25.117207410200587453797717794861151272438,1.3.6.1.4.1.14519.5.2.1.8700.9668.117146506976447617573319269892
2.25.117235121042708442892434512793220791798,1.3.6.1.4.1.14519.5.2.1.8700.9668.248420624307202607180609871331
2.25.117255116250222980354634683447686839798,1.3.6.1.4.1.14519.5.2.1.8700.9668.160312352190803946238749540245
2.25.117400422284837391435067994923482070518,1.3.6.1.4.1.14519.5.2.1.8700.9668.104281039854484980801551955899
2.25.117482781940475032070604923698455100918,1.3.6.1.4.1.14519.5.2.1.8700.9668.188784165268826407713817028870
2.25.117811076508358888635717788023704370678,1.3.6.1.4.1.14519.5.2.1.8700.9668.152972280917574174497949400740
2.25.117869243052291173513127152218002800118,1.3.6.1.4.1.14519.5.2.1.8700.9668.259117524752909473407505835167
2.25.118003940039804112027435000191128288758,1.3.6.1.4.1.14519.5.2.1.8700.9668.215209846909511128720583731845
2.25.11805817759262194104094745651188448758,1.3.6.1.4.1.14519.5.2.1.8700.9668.202376095301739142563894381937
2.25.118286131343780105603180493323957288438,1.3.6.1.4.1.14519.5.2.1.8700.9668.281813765206863192550092655137
2.25.11855366655957802449504060070008831478,1.3.6.1.4.1.14519.5.2.1.8700.9668.201268102397770811567072144052
2.25.11918605782995063101127850915727523318,1.3.6.1.4.1.14519.5.2.1.8700.9668.229749217564493243636992651088
2.25.11948092524378809430971728135443824118,1.3.6.1.4.1.14519.5.2.1.8700.9668.295461793541481166563900814376
2.25.11952149006299539765056517585701027318,1.3.6.1.4.1.14519.5.2.1.8700.9668.258196396129326663076315874691
2.25.119649049451882799586094865484695059958,1.3.6.1.4.1.14519.5.2.1.8700.9668.612828805281211662652719026713
2.25.119777198231763934152900607050325278198,1.3.6.1.4.1.14519.5.2.1.8700.9668.749592352896260074962859504313
2.25.119877406011711975687088921438710250998,1.3.6.1.4.1.14519.5.2.1.8700.9668.241650957722660368007184487562
2.25.119976611951545024348728365463843225078,1.3.6.1.4.1.14519.5.2.1.8700.9668.381406691434079103041466462369
2.25.120131787834504649909017392677251562998,1.3.6.1.4.1.14519.5.2.1.8700.9668.138013089178837997697821317966
2.25.120157067560458888802535052713205022198,1.3.6.1.4.1.14519.5.2.1.8700.9668.162067944286904788022471389208
2.25.120259204150023340102022081929060924918,1.3.6.1.4.1.14519.5.2.1.8700.9668.115410683401785999990635317619
2.25.120311416697542678014461291295491603958,1.3.6.1.4.1.14519.5.2.1.8700.9668.377593188296586208355114199931
2.25.120408444655188209549460288797429841398,1.3.6.1.4.1.14519.5.2.1.8700.9668.210483701799459314003742154444
2.25.120789736129400295243954538574218116598,1.3.6.1.4.1.14519.5.2.1.8700.9668.278663579576626869993335367163
2.25.120823497626292498706133275457774796278,1.3.6.1.4.1.14519.5.2.1.8700.9668.199948243506320397637354862528
2.25.122320322817127863987909687958453206518,1.3.6.1.4.1.14519.5.2.1.8700.9668.418813064864947338269440436073
2.25.122358207347597309766216792869185371638,1.3.6.1.4.1.14519.5.2.1.8700.9668.235772048185776279552145084731
2.25.122386122598377585662924502144646757878,1.3.6.1.4.1.14519.5.2.1.8700.9668.139171123738046139684369034220
2.25.122441527644705435856847043364556226038,1.3.6.1.4.1.14519.5.2.1.8700.9668.446594517041362385355128486158
2.25.122442284273657447081271061709281934838,1.3.6.1.4.1.14519.5.2.1.8700.9668.100574584637693241082914922327
2.25.122490031125796668484321810970951925238,1.3.6.1.4.1.14519.5.2.1.8700.9668.328107936012490377864716123338
2.25.122515867825733382656132753620876246518,1.3.6.1.4.1.14519.5.2.1.8700.9668.326882627241188368148219205092
2.25.122566365479675099316984750728501902838,1.3.6.1.4.1.14519.5.2.1.8700.9668.862724296946432652762674936375
2.25.122595574130208420579003674608952524278,1.3.6.1.4.1.14519.5.2.1.8700.9668.122285106943352394630666636455
2.25.122617195891899375888054640720718970358,1.3.6.1.4.1.14519.5.2.1.8700.9668.317922634135694331861524296762
2.25.122652848961171607411293423466089922038,1.3.6.1.4.1.14519.5.2.1.8700.9668.866376374217696853037182677957
2.25.122683360518837475750344073176803818998,1.3.6.1.4.1.14519.5.2.1.8700.9668.309467138576844177937709827470
2.25.122755053290815008406789095162023362038,1.3.6.1.4.1.14519.5.2.1.8700.9668.176417413576059408637919300726
2.25.122793349411588715788329998533577522678,1.3.6.1.4.1.14519.5.2.1.8700.9668.128200928125735542665803386484
2.25.122808252625098461481553032118355475958,1.3.6.1.4.1.14519.5.2.1.8700.9668.256767280045672948667464187966
2.25.122975542890247330630381800169489939958,1.3.6.1.4.1.14519.5.2.1.8700.9668.174160090894701668826923436017
2.25.123243193449557081272248750181113773558,1.3.6.1.4.1.14519.5.2.1.8700.9668.253482574392820404431587552030
2.25.123314425113628780910248977740542361078,1.3.6.1.4.1.14519.5.2.1.8700.9668.189894075164210463841020376224
2.25.123335499804857575224048860431331737078,1.3.6.1.4.1.14519.5.2.1.8700.9668.305281337256663454842152978651
2.25.123380320364814332273790592147196067318,1.3.6.1.4.1.14519.5.2.1.8700.9668.210074046309433033370122043669
2.25.125029651845673404979000817397876243958,1.3.6.1.4.1.14519.5.2.1.8700.9668.425146347671084526415020815432
2.25.125032450580514221366726309337921863158,1.3.6.1.4.1.14519.5.2.1.8700.9668.148218080647832427594800638542
2.25.125179945293118088999485642465345125878,1.3.6.1.4.1.14519.5.2.1.8700.9668.298614890072296783817276711233
2.25.125271735873080615090448018744446402038,1.3.6.1.4.1.14519.5.2.1.8700.9668.172098457117834558506407752157
2.25.125533235553993570820465893971485900278,1.3.6.1.4.1.14519.5.2.1.8700.9668.183758477989262120182960822342
2.25.125709270231439139324234861468418948598,1.3.6.1.4.1.14519.5.2.1.8700.9668.177841192169662289097309138128
2.25.125833282112814591578653156136682372598,1.3.6.1.4.1.14519.5.2.1.8700.9668.392797145992103528930552870428
2.25.125886827674168231988572376880077454838,1.3.6.1.4.1.14519.5.2.1.8700.9668.257850764622548312848220857586
2.25.125901524102173815451874291315145031158,1.3.6.1.4.1.14519.5.2.1.8700.9668.462122676012250818651104199476
2.25.125931746477046506726092724590440201718,1.3.6.1.4.1.14519.5.2.1.8700.9668.352797296006125679352767182073
2.25.125978828604902233451351064018366873078,1.3.6.1.4.1.14519.5.2.1.8700.9668.278938193819548294617585715415
2.25.126055657342514753293480587490166947318,1.3.6.1.4.1.14519.5.2.1.8700.9668.803621211229021685448747568480
2.25.126221284608532448033863267053783858678,1.3.6.1.4.1.14519.5.2.1.8700.9668.196232290796042903778093362228
2.25.126235514382660822480216755514983955958,1.3.6.1.4.1.14519.5.2.1.8700.9668.358384736864545929921234613139
2.25.127636264730645702826975420847446670838,1.3.6.1.4.1.14519.5.2.1.8700.9668.335499452439359657158063788632
2.25.127866996946927869144132219216812686838,1.3.6.1.4.1.14519.5.2.1.8700.9668.300797556610783775599384279738
2.25.127901310664112797028743983101703208438,1.3.6.1.4.1.14519.5.2.1.8700.9668.479095729333855941302704529677
2.25.127969869962262890530637180423686962678,1.3.6.1.4.1.14519.5.2.1.8700.9668.480851618875716678053649489810
2.25.128133226153002113883782741049967492598,1.3.6.1.4.1.14519.5.2.1.8700.9668.105979369824093059674009542937
2.25.128361519726442091144628410136542166518,1.3.6.1.4.1.14519.5.2.1.8700.9668.179340035648841070563909333143
2.25.128430884378864142143513245832781086198,1.3.6.1.4.1.14519.5.2.1.8700.9668.922622936493794272227731715487
2.25.128581262600442716426839295992276827638,1.3.6.1.4.1.14519.5.2.1.8700.9668.276753134459641856550800424220
2.25.128634092731488853029790047033800375798,1.3.6.1.4.1.14519.5.2.1.8700.9668.349399548708092639482614943445
2.25.128855358766913815043891168771980246518,1.3.6.1.4.1.14519.5.2.1.8700.9668.130620824840950315064486267628
2.25.130290517113597015249823334306634382838,1.3.6.1.4.1.14519.5.2.1.8700.9668.235911191693757217790448057303
2.25.130290541674327394671767988305258986998,1.3.6.1.4.1.14519.5.2.1.8700.9668.322523720153021596418936387635
2.25.130361611712947565210519525035028889078,1.3.6.1.4.1.14519.5.2.1.8700.9668.128728039698368564011017521769
2.25.130513972223152246387572165664162037238,1.3.6.1.4.1.14519.5.2.1.8700.9668.274800197987971006932069794694
2.25.130543274362917334481509449926474055158,1.3.6.1.4.1.14519.5.2.1.8700.9668.173340788699992985782553039627
2.25.130548996616954927223292143638287072758,1.3.6.1.4.1.14519.5.2.1.8700.9668.201582495972201582109263198481
2.25.130581957909405736615661185727945358838,1.3.6.1.4.1.14519.5.2.1.8700.9668.337961435565176160195626370499
2.25.130608097657064067848563423683479715318,1.3.6.1.4.1.14519.5.2.1.8700.9668.139109801710826551249818091328
2.25.130609786405348059392919230072781127158,1.3.6.1.4.1.14519.5.2.1.8700.9668.208812319118905829203154976257
2.25.130965865101403230747261086358253977078,1.3.6.1.4.1.14519.5.2.1.8700.9668.224706079821435228064451644711
2.25.131288051970238862674588864380371844598,1.3.6.1.4.1.14519.5.2.1.8700.9668.161151753819993283738736162088
2.25.131344154620537650966003916754764021238,1.3.6.1.4.1.14519.5.2.1.8700.9668.237780085367958700724920138703
2.25.131383523094490988915354148743685979638,1.3.6.1.4.1.14519.5.2.1.8700.9668.937178870589473709659649397423
2.25.131513208900724900210309205061952716278,1.3.6.1.4.1.14519.5.2.1.8700.9668.265436019684585540699932367237
2.25.1325424121065978409267455422040227318,1.3.6.1.4.1.14519.5.2.1.8700.9668.163543209316860823277417165014
2.25.132958343657631896581631149650833161718,1.3.6.1.4.1.14519.5.2.1.8700.9668.224005974959753502953573815921
2.25.133031500962193505414356588295974665718,1.3.6.1.4.1.14519.5.2.1.8700.9668.135027405600631717221208147745
2.25.133251670875990082581347103353601637878,1.3.6.1.4.1.14519.5.2.1.8700.9668.412783024551627655709849193005
2.25.133251830124596736252665666376941813238,1.3.6.1.4.1.14519.5.2.1.8700.9668.101239303682646541866964026236
2.25.13325720133133901730803717666000977398,1.3.6.1.4.1.14519.5.2.1.8700.9668.517702246782012320726046219177
2.25.133294749604793963529626841005717831158,1.3.6.1.4.1.14519.5.2.1.8700.9668.179985309150545940164719375112
2.25.133320485288823472014407351887105474038,1.3.6.1.4.1.14519.5.2.1.8700.9668.288591869288903093290937204401
2.25.133452327289500209013310016503980604918,1.3.6.1.4.1.14519.5.2.1.8700.9668.899998030907920200285160741026
2.25.133517394606387486314523778376353299958,1.3.6.1.4.1.14519.5.2.1.8700.9668.274696083908645004413687107217
2.25.133527901053018502908332058239607356918,1.3.6.1.4.1.14519.5.2.1.8700.9668.465133146603524459333536481382
2.25.133543153266584123935962191385486540278,1.3.6.1.4.1.14519.5.2.1.8700.9668.112433955979886812974204031844
2.25.133576901294688699973203537366571662838,1.3.6.1.4.1.14519.5.2.1.8700.9668.513910097918086264251911408411
2.25.133800577846958158479775942679440506358,1.3.6.1.4.1.14519.5.2.1.8700.9668.176595941335816668416737442712
2.25.133820757656091354177882706291310837238,1.3.6.1.4.1.14519.5.2.1.8700.9668.274703357207524404957223546877
2.25.133855170408479424892916462106139278838,1.3.6.1.4.1.14519.5.2.1.8700.9668.182549444855888238947959921193
2.25.133879780656460418252781456695712398838,1.3.6.1.4.1.14519.5.2.1.8700.9668.492663301552608391066628047658
2.25.133934089977300696170915079202788720118,1.3.6.1.4.1.14519.5.2.1.8700.9668.321255615295891992748394665690
2.25.134041261120452116397734490168968723958,1.3.6.1.4.1.14519.5.2.1.8700.9668.981570983662826524485204530379
2.25.13416743784483289742978188439663001078,1.3.6.1.4.1.14519.5.2.1.8700.9668.253983209401411686136404720448
2.25.134251124638728025488369149061816237558,1.3.6.1.4.1.14519.5.2.1.8700.9668.247178979743744093408265075103
2.25.13472299760460729610463845360797859318,1.3.6.1.4.1.14519.5.2.1.8700.9668.161635047779630467451152383661
2.25.13555621642132105986380847727047720438,1.3.6.1.4.1.14519.5.2.1.8700.9668.134372022116475871759644651369
2.25.135608185804916852480126918486025420278,1.3.6.1.4.1.14519.5.2.1.8700.9668.223634432288806177944202213731
2.25.135615731495114711015639327611855420918,1.3.6.1.4.1.14519.5.2.1.8700.9668.293203757955531756816359503634
2.25.135649433967025841350886557305169100278,1.3.6.1.4.1.14519.5.2.1.8700.9668.207587510693547145812500726060
2.25.135655254860125764351769554979200286198,1.3.6.1.4.1.14519.5.2.1.8700.9668.165799819745917066099500492132
2.25.135890715017005969393272248083802602998,1.3.6.1.4.1.14519.5.2.1.8700.9668.345741243290944065306307360320
2.25.135941322401952768310231812249799474678,1.3.6.1.4.1.14519.5.2.1.8700.9668.312465877424844390436767905109
2.25.136024311921482397347252609699177676278,1.3.6.1.4.1.14519.5.2.1.8700.9668.246443236865576433779562183046
2.25.136139538588057455400596844246508092918,1.3.6.1.4.1.14519.5.2.1.8700.9668.190160961762014129807343643092
2.25.136147717707414615479488313756221029878,1.3.6.1.4.1.14519.5.2.1.8700.9668.888018335796650165866409278166
2.25.136243084250492222891327974641520721398,1.3.6.1.4.1.14519.5.2.1.8700.9668.230449851388842714279370922978
2.25.136300338878273968586211637144950783478,1.3.6.1.4.1.14519.5.2.1.8700.9668.522487816959681262556436774463
2.25.136310192484845867641878146206054071798,1.3.6.1.4.1.14519.5.2.1.8700.9668.243220399443176295912236799192
2.25.136407006922593423234487329107046153718,1.3.6.1.4.1.14519.5.2.1.8700.9668.424709873714722716077514309246
2.25.136427324984870206323863193453109820918,1.3.6.1.4.1.14519.5.2.1.8700.9668.304990062890794646579934595103
2.25.136434261806639142737941196193681489398,1.3.6.1.4.1.14519.5.2.1.8700.9668.172747284213623206010534939036
2.25.136459537175044443346920288584717680118,1.3.6.1.4.1.14519.5.2.1.8700.9668.147571328042730282921385403280
2.25.136470813323274286018768289727449251318,1.3.6.1.4.1.14519.5.2.1.8700.9668.130258014585684166552539633911
2.25.136627777385861858525156803227816672758,1.3.6.1.4.1.14519.5.2.1.8700.9668.319113887689954895514023020241
